Net secretion,SRS011061,SRS012902,SRS011134,SRS054956
EX_glu_L[fe],91.4226118232905,215.963614248185,126.600778001123,4.08247989410042
EX_gly[fe],165.083308878617,51.1477556076265,133.408143667623,62.8987816
EX_glyasn[fe],0,0,0,0
EX_glyasp[fe],0,0,0,0
EX_glyb[fe],0,0,0,0
EX_glyc[fe],34.954012198331,0.612139890035892,8.79587489900354,0.410374124183152
EX_glyclt[fe],0.000628835981402176,0.0025361635529928,0.000359459989349276,0
EX_glycys[fe],0,0,0,0
EX_glygln[fe],0,0,0,0
EX_glyglu[fe],0,0,0,0
EX_glygn2[fe],0,0,0,0
EX_glygn4[fe],0,0,0,0
EX_glygn5[fe],0,0,0,0
EX_glyleu[fe],0,0,0,0
EX_glymet[fe],0,0,0,0
EX_glyphe[fe],0,0,0,0
EX_glypro[fe],0,0,0,0
EX_glytyr[fe],0,0,0,0
EX_gncore1[fe],0,0,0,0
EX_gncore2[fe],0,0,0,0
EX_gsn[fe],63.2695159364558,61.371998018193,30.6646670692121,21.2659428954175
EX_gthox[fe],0.000101932623893186,3.50050636685473e-06,0.000357747765895575,1.24735911011392e-05
EX_gua[fe],61.7823482686958,64.645165411954,19.293682017228,0.0755456
EX_h2[fe],215.48028,239.154372,176.158268,63.1283812
EX_h2o[fe],310.853159999999,248.41408799999,186.832867999998,63.2039267999935
EX_h2s[fe],77.5272200494558,36.1239199048298,48.9585318362233,55.4051793954173
EX_h[fe],296.14316545996,240.730127943002,181.456627506815,63.2039268
EX_ha[fe],0,0,0,0
EX_ha_deg1[fe],1,1,1,1
EX_ha_pre1[fe],1,1,1,1
EX_hdca[fe],77.5385198467751,69.6418089933193,56.100376793136,44.5149834060115
EX_hexs[fe],0,0,0,0
EX_hg2[fe],0,0,0,0
EX_his_L[fe],1.12981699148584,0.64204938025466,0.462681170858472,0.000638596302303895
EX_homogal[fe],0,0,0,0
EX_hspg[fe],0,0,0,0
EX_hspg_degr_10[fe],1,1,1,1
EX_hspg_degr_11[fe],1,1,1,1
EX_hspg_degr_12[fe],1,1,1,1
EX_hspg_degr_13[fe],1,1,1,1
EX_hspg_degr_14[fe],0,0,0,0
EX_hspg_degr_15[fe],0,0,0,0
EX_hspg_degr_1[fe],1,1,1,1
EX_hspg_degr_2[fe],1,1,1,1
EX_hspg_degr_3[fe],1,1,1,1
EX_hspg_degr_4[fe],1,1,1,1
EX_hspg_degr_5[fe],1,1,1,1
EX_hspg_degr_6[fe],1,1,1,1
EX_hspg_degr_7[fe],1,1,1,1
EX_hspg_degr_8[fe],1,1,1,1
EX_hspg_degr_9[fe],1,1,1,1
EX_hspg_rest[fe],0,0,0,0
EX_hxan[fe],0,0,0,0
EX_idour[fe],3,3,3,3
EX_ile_L[fe],0.0215277488074186,0.000739292474637665,0.0755548493354432,0.00263437087848573
EX_ind3ac[fe],0,0,0,0
EX_indole[fe],72.7762673710356,22.2348842929922,8.11436490651677,34.402123154325
EX_ins[fe],77.1065778493401,72.2519007827906,37.4726372430569,26.4676946040775
EX_inulin[fe],0,0,0,0
EX_isetac[fe],0,0,0,0
EX_isobut[fe],295.14428,239.965048,108.006994280975,62.8987816
EX_isocapr[fe],158.435216475865,155.797294846267,91.4242599416608,62.1271354535093
EX_isoval[fe],79.2176082379324,77.8986474231334,45.7121299708304,31.0635677267546
EX_k[fe],0.00543905071120321,0.00355221284156926,0.00237592745442328,0.00119586863985433
EX_kdo[fe],0,0,0,0
EX_kesto[fe],0,0,0,0
EX_kestopt[fe],0,0,0,0
EX_kestottr[fe],0,0,0,0
EX_lac_D[fe],295.14428,239.965048,180.767788,63.2039268
EX_lac_L[fe],0,0,0,0
EX_lanost[fe],0,0,0,0
EX_lcts[fe],0,0,0,0
EX_leu_L[fe],219.745570377801,215.69686148439,90.2485899124912,59.911159734834
EX_levan1000[fe],0,0,0,0
EX_levanb[fe],0,0,0,0
EX_levanttr[fe],0,0,0,0
EX_levantttr[fe],0,0,0,0
EX_lichn[fe],0,0,0,0
EX_lmn2[fe],0,0,0,0
EX_lmn30[fe],0,0,0,0
EX_lys_L[fe],231.206010020543,240.495773386663,89.4631675564646,59.9237137939187
EX_mal_L[fe],15.70888,8.44904,6.06508,0
EX_malt[fe],17.7031111111111,0.180150222222224,9.01621333333334,0.0845979555555569
EX_malttr[fe],0,0,0,0
EX_man[fe],0,0,0,0
EX_mannan[fe],0,0,0,0
EX_mantr[fe],0,0,0,0
EX_melib[fe],0,0,0,0
EX_meoh[fe],2,1,1.95508370425238,1.07076515643501
EX_met_D[fe],0,0,0,0
EX_met_L[fe],12.3877955073987,26.8934840414472,38.3180358818544,50.7871559646786
EX_metala[fe],0,0,0,0
EX_metsox_R_L[fe],0,0,0,0
EX_metsox_S_L[fe],0,0,0,0
EX_mg2[fe],0.00543905071120321,0.00355221284156571,0.0023759274544215,0.00119586863985433
EX_mn2[fe],0.00543905071120293,0.00355221284156516,0.0023759274544209,0.00119586863985392
EX_mops[fe],0,0,0,0
