Net uptake,SRS011061,SRS012902,SRS011134,SRS054956
EX_gua[fe],0,0,0,0
EX_h2[fe],0,0,0,0
EX_h2o[fe],310.853159999999,248.41408799999,186.832867999998,63.2039267999935
EX_h2s[fe],0,0,0,0
EX_h[fe],0,0,0,0
EX_ha[fe],0,0,0,0
EX_ha_deg1[fe],0,0,0,0
EX_ha_pre1[fe],0,0,0,0
EX_hdca[fe],74.2281,74.2281,74.2281,63.169542554627
EX_hexs[fe],0,0,0,0
EX_hg2[fe],0,0,0,0
EX_his_L[fe],0.00885655987019973,0.00213566795867948,0.0197214532581,0.000638660168320371
EX_homogal[fe],0,0,0,0
EX_hspg[fe],0,0,0,0
EX_hspg_degr_10[fe],0,0,0,0
EX_hspg_degr_11[fe],0,0,0,0
EX_hspg_degr_12[fe],0,0,0,0
EX_hspg_degr_13[fe],0,0,0,0
EX_hspg_degr_14[fe],0,0,0,0
EX_hspg_degr_15[fe],0,0,0,0
EX_hspg_degr_1[fe],0,0,0,0
EX_hspg_degr_2[fe],0,0,0,0
EX_hspg_degr_3[fe],0,0,0,0
EX_hspg_degr_4[fe],0,0,0,0
EX_hspg_degr_5[fe],0,0,0,0
EX_hspg_degr_6[fe],0,0,0,0
EX_hspg_degr_7[fe],0,0,0,0
EX_hspg_degr_8[fe],0,0,0,0
EX_hspg_degr_9[fe],0,0,0,0
EX_hspg_rest[fe],0,0,0,0
EX_hxan[fe],0,0,0,0
EX_idour[fe],0,0,0,0
EX_ile_L[fe],4.39194590295838,0.150825457140183,15.4141900277588,0.537446552825376
EX_ind3ac[fe],0,0,0,0
EX_indole[fe],0,0,0,0
EX_ins[fe],0,0,0,0
EX_inulin[fe],0,0,0,0
EX_isetac[fe],0,0,0,0
EX_isobut[fe],0,0,0,0
EX_isocapr[fe],0,0,0,0
EX_isoval[fe],0,0,0,0
EX_k[fe],0.00543959467067623,0.00355256809837101,0.00237616507094174,0.00119598823867761
EX_kdo[fe],0,0,0,0
EX_kesto[fe],0,0,0,0
EX_kestopt[fe],0,0,0,0
EX_kestottr[fe],0,0,0,0
EX_lac_D[fe],0,0,0,0
EX_lac_L[fe],0,0,0,0
EX_lanost[fe],0,0,0,0
EX_lcts[fe],3.3014,3.3014,3.3014,3.3014
EX_leu_L[fe],37.5102,37.5102,37.5102,37.5102
EX_levan1000[fe],0,0,0,0
EX_levanb[fe],0,0,0,0
EX_levanttr[fe],0,0,0,0
EX_levantttr[fe],0,0,0,0
EX_lichn[fe],0,0,0,0
EX_lmn2[fe],0,0,0,0
EX_lmn30[fe],0,0,0,0
EX_lys_L[fe],0.252788208913998,0.193902809202299,0.1428159351305,0.0523165339085487
EX_mal_L[fe],0,0,0,0
EX_malt[fe],6.731,6.731,6.731,6.731
EX_malttr[fe],0,0,0,0
EX_man[fe],0,0,0,0
EX_mannan[fe],0,0,0,0
EX_mantr[fe],0,0,0,0
EX_melib[fe],0,0,0,0
EX_meoh[fe],0,0,0,0
EX_met_D[fe],0,0,0,0
EX_met_L[fe],5.117995689744,3.08103769381419,5.23604036509842,2.61254789772946
EX_metala[fe],0,0,0,0
EX_metsox_R_L[fe],0,0,0,0
EX_metsox_S_L[fe],0,0,0,0
EX_mg2[fe],0.00543959467066912,0.00355256809837456,0.00237616507092753,0.00119598823867761
EX_mn2[fe],0.00543959467067,0.003552568098375,0.002376165070928,0.0011959882386778
EX_mops[fe],0,0,0,0
EX_mqn7[fe],0.00040773049557273,1.4002025467419e-05,0.0014309910635823,4.9894364404566e-05
EX_mqn8[fe],0,0,0,0
EX_mso3[fe],0,0,0,0
EX_na1[fe],0,0,0,0
EX_nac[fe],0.24689,0.24689,0.24689,0.0440895533858909
EX_ncam[fe],0.11642,0.11642,0.11642,0.0755456
EX_nh4[fe],0,0,0,0
EX_nmn[fe],0,0,0,0
EX_no2[fe],0,0,0,0
EX_no3[fe],0,0,0,0
EX_o2[fe],0,0,0,0
EX_ocdca[fe],26.9522583896742,27.4268179171007,27.7792626579145,1.3823429818568
EX_ocdcea[fe],3.29219500000001,0.113058499999994,11.55445,0.402868999999995
EX_orn[fe],0,0,0,0
EX_pac[fe],0,0,0,0
EX_pb[fe],0,0,0,0
EX_pect[fe],0,0,0,0
EX_pecticgal[fe],0,0,0,0
EX_phe_L[fe],12.45818518786,16.572,2.366605649392,16.572
EX_pheme[fe],0.000203865247786365,7.0010127337095e-06,0.00071549553179115,2.4947182202283e-05
EX_pi[fe],11.3813,11.3813,11.3813,11.3813
EX_pnto_R[fe],0.00040777127270283,1.40034258102294e-05,0.00143113417700055,4.98993543407121e-05
EX_ppa[fe],0,0,0,0
EX_ppi[fe],0,0,0,0
EX_pro_L[fe],43.0522,43.0522,43.0522,4.986495590523
EX_ptrc[fe],0,0,0,0
EX_pullulan1200[fe],0,0,0,0
EX_pydam[fe],0.0025374,0.00204237728086102,0.001426901687428,0.000244801579481639
EX_pydx[fe],0.0025684,0.0025684,0.0025684,0.0025684
EX_pydxn[fe],0.0025378,0.0025378,0.0025378,0.00126981742346273
EX_q8[fe],0,0,0,0
EX_raffin[fe],0,0,0,0
EX_rhamnogalurII[fe],0,0,0,0
EX_rhamnogalurI[fe],0,0,0,0
EX_rib_D[fe],0,0,0,0
EX_ribflv[fe],0.00102115591006,0.000343913090690019,0.00166795735576,4.98993543400382e-05
EX_rmn[fe],0,0,0,0
EX_sT_antigen[fe],0,0,0,0
EX_sTn_antigen[fe],0,0,0,0
EX_salcn[fe],0,0,0,0
EX_ser_L[fe],29.9034,29.9034,29.9034,29.9034
EX_sheme[fe],0.000203865247786365,7.0010127337095e-06,0.00071549553179115,2.4947182202283e-05
EX_so3[fe],0,0,0,0
EX_so4[fe],0,0,0,0
EX_spmd[fe],0.000203865247786365,7.0010127337095e-06,0.00071549553179115,2.4947182202283e-05
EX_strch1[fe],19.916,0.202669,10.14324,0.0951726999999991
EX_strch2[fe],0,0,0,0
EX_stys[fe],0,0,0,0
EX_succ[fe],0,0,0,0
EX_sucr[fe],161.9064,136.917076,61.411428,55.4062908
EX_sulfac[fe],0,0,0,0
EX_taur[fe],0,0,0,0
EX_tchola[fe],0,0,0,0
EX_tdchola[fe],0,0,0,0
EX_thm[fe],0.000203885636349987,7.00171290457519e-06,0.00071556708850018,2.49496771695945e-05
EX_thr_L[fe],20.7048,20.7048,20.7048,20.7048
EX_thymd[fe],0,0,0,0
EX_tma[fe],0,0,0,0
EX_tmao[fe],0,0,0,0
EX_tre[fe],0,0,0,0
EX_trp_L[fe],3.6439,3.6439,3.6439,3.6439
EX_tsul[fe],0,0,0,0
EX_ttdca[fe],24.1691,24.1691,24.1691,24.1691
EX_tyr_L[fe],12.5175,9.353508,12.5175,3.222952
EX_ura[fe],0,0,0,0
EX_urea[fe],0.000203865247786365,7.0010127337095e-06,0.000715495531791149,2.4947182202283e-05
EX_uri[fe],0,0,0,0
EX_val_L[fe],30.2275,30.2275,30.2275,30.2275
EX_xan[fe],0,0,0,0
EX_xyl_D[fe],0,0,0,0
EX_xylan[fe],0,0,0,0
EX_xyluglc[fe],0,0,0,0
EX_zn2[fe],0.00543959467067,0.00355256809837501,0.002376165070928,0.00119598823867779
